S.No,Book Title,Author,Translation Author,ISBN,Book Code,"Digital 
Copyrights","Digitized 
(PDF Unicode Text)",eBook (EPUB),"Amazon Kindle 
Link","Google Playbooks 
Link","References 
Link",Audio Books,"Google Link for 
Audio Books"
60,Complete Works of Vivekananda [HB] Vol 2,Swami Vivekananda,,9788175053847,AVED14,,,,,,,,
61,Complete Works of Vivekananda [HB] Vol 3,Swami Vivekananda,,9788185301785,AVED15,,,,,,,,
62,Complete Works of Vivekananda [HB] Vol 4,Swami Vivekananda,,9788175053861,AVED16,,,,,,,,
63,Complete Works of Vivekananda [HB] Vol 5,Swami Vivekananda,,9788175053878,AVED17,,,,,,,,
64,Complete Works of Vivekananda [HB] Vol 6,Swami Vivekananda,,9788175053885,AVED18,,,,,,,,
65,Complete Works of Vivekananda [HB] Vol 7,Swami Vivekananda,,9788175053892,AVED19,,,,,,,,
66,Complete Works of Vivekananda [HB] Vol 8,Swami Vivekananda,,9788175053908,AVED20,,,,,,,,
67,Complete Works of Vivekananda [HB] Vol 9,Swami Vivekananda,,9788175053915,AVED21,,,,,,,,
68,Selections from Complete Works of Vivekananda   [HB],Swami Vivekananda,,9788175050761,AVED30,,,,,,,,
69,Vivekananda: Man and His Message,Swami Vivekananda,,9788175050006,AVE099,,,,,,,,
70,Vivekananda: The Great Spiritual Teacher[HB],Compilation,,9788175051478,AVE102,,,,,,,,
71,Vivekananda—A Historical Review … [HB],R C Majumder,,9788175052024,AVE108,,,,,,,,
72,Living at the Source,Swami Vivekananda,,9788185301358,AVE101,,,,,,,,
73,Vedanta: Voice of Freedom,Swami Chetanananda,,9788185301235,AVE031,,,,,,,,
74,Raja Yoga,Swami Vivekananda,,9788185301167,AVE032,,,,,,,,
75,Karma Yoga,Swami Vivekananda,,9788185301891,AVE034,,,,,,,,
76,Bhakti Yoga,Swami Vivekananda,,9788185301976,AVE036,,,,,,,,
77,Jnana Yoga,Swami Vivekananda,,9788185301983,AVE038,,,,,,,,
78,Lectures from Colombo to Almora … [HB],Swami Vivekananda,,9788175050815,AVED40,,,,,,,,
79,Letters of Swami Vivekananda … … … [HB],Swami Vivekananda,,9788175050624,AVED41,,,,,,,,
80,What Religion Is,Swami Vivekananda,,9788185301457,AVE043,,,,,,,,
81,Teachings of Swami Vivekananda,Swami Vivekananda,,9788185301877,AVE044,,,,,,,,
82,Reminiscences of Vivekananda … Enlarged Edition [HB],"His Devotees, Monastic & Lay",,9788185301174,AVE045,,,,,,,,
83,Talks with Swami Vivekananda,Swami Vivekananda,,9788175051539,AVE046,,,,,,,,
84,Vivekananda in the West: New Discoveries (Set),Marie Louise Burke,,9788175050822,AVE047,,,,,,,,
85,Vivekananda in the West: New Discoveries   Vol 1,Marie Louise Burke,,9788175050839,AVE048,,,,,,,,
86,Vivekananda in the West: New Discoveries   Vol 2,Marie Louise Burke,,9788185301150,AVE049,,,,,,,,
87,Vivekananda in the West: New Discoveries   Vol 3,Marie Louise Burke,,9788185301846,AVE050,,,,,,,,
88,Vivekananda in the West: New Discoveries   Vol 4,Marie Louise Burke,,9788175050846,AVE051,,,,,,,,
89,Vivekananda in the West: New Discoveries   Vol 5,Marie Louise Burke,,9788175050853,AVE052,,,,,,,,
90,Vivekananda in the West: New Discoveries   Vol 6,Marie Louise Burke,,9788175050860,AVE053,,,,,,,,
91,Swami Vivekananda in Chicago [HB],Asim Chaudhuri,,9788175052116,AVE109,,,,,,,,
92,Vivekananda in America: New Findings,Asim Chaudhuri,,9788175052970,AVE116,,,,,,,,
93,Swamiji and His Message,Swami Vivekananda,,9788175050037,AVE054,,,,,,,,
94,Advaita Vedanta,Swami Vivekananda,,9788185301297,AVE055,,,,,,,,
95,Practical Vedanta,Swami Vivekananda,,9788175050877,AVE056,,,,,,,,
96,Meditation and Its Methods,Swami Vivekananda,,9788185301372,AVE057,,,,,,,,
97,Thoughts on the Gita,Swami Vivekananda,,9788175050334,AVE058,,,,,,,,
98,In Search of God and Other Poems,Swami Vivekananda,,9788185301273,AVE059,,,,,,,,
99,To the Youth of India,Swami Vivekananda,,9788175050198,AVE060,,,,,,,,
100,Vivekananda on India and Her Problems,Swami Vivekananda,,9788175050518,AVE061,,,,,,,,
101,"Caste, Culture and Socialism",Swami Vivekananda,,9788175050280,AVE062,,,,,,,,
102,The East and the West,Swami Vivekananda,,9788185301860,AVE063,,,,,,,,
103,Memoirs of European Travel,Swami Vivekananda,,9788175050884,AVE065,,,,,,,,
104,Four Yogas of Vivekananda (Condensed),Swami Vivekananda,,9788175050891,AVE066,,,,,,,,
105,Philosophical and Religious Lectures of Sw. Vivekananda,Swami Vivekananda,,9788175050679,AVE067,,,,,,,,
106,Nationalistic and Religious Lectures of Sw. Vivekananda,Swami Vivekananda,,9788175050907,AVE068,,,,,,,,
107,"State, Society and Socialism",Swami Vivekananda,,9788175050594,AVE088,,,,,,,,
108,Six Lessons on Raja Yoga,Swami Vivekananda,,9788185301587,AVE089,,,,,,,,
109,Realisation and Its Methods,Swami Vivekananda,,9788175050082,AVE090,,,,,,,,
110,Religion of Love,Swami Vivekananda,,9788175050914,AVE092,,,,,,,,
111,Buddha and His Message,Swami Vivekananda,,9788175052451,AVE094,,,,,,,,
112,A Study of Religion,Swami Vivekananda,,9788175050365,AVE095,,,,,,,,
113,Science and Philosophy of Religion,Swami Vivekananda,,9788175050532,AVE096,,,,,,,,
114,Thoughts on Vedanta,Swami Vivekananda,,9788175050075,AVE097,,,,,,,,
115,Vedanta Philosophy,Swami Vivekananda,,9788175050372,AVE098,,,,,,,,
116,India,Swami Vivekananda,,9788175051928,AVE106,,,,,,,,
117,Salvation and Service,Swami Vivekananda,,9788175051911,AVE107,,,,,,,,
118,Universal Ethics and Moral Conduct,Swami Vivekananda,,9788175052208,AVE110,,,,,,,,
119,Monastic Disciples of Vivekananda … [HB],Swami Abjajananda,,9788175052468,AVE112,,,,,,,,
120,My Idea of Education,Swami Vivekananda,,9788175053052,AVE117,,,,,,,,
121,Vivekananda a Born Leader,Asim Chaudhuri,,9788175053441,AVE118,,,,,,,,
122,Vivekananda's Contribution to present age,Swami Satprakashananda,,9788175053472,AVE119,,,,,,,,
123,Vivekananda's Devotion to His Mother,Swami Tathagatananda,,9788175053625,AVE121,,,,,,,,
124,Vivekananda Leader of Sacred Nationhood,Prof. S. K. Chakraborty,,9788175053632,AVE122,,,,,,,,
125,Vivekananda in Europe,SWAMI VIDYATMANANDA,,9788175053687,AVE123,,,,,,,,
126,Vivekananda as the Turning Point,Compilation,,9788175053724,AVE125,,,,,,,,
