S.No,Book Title,Author,Translation Author,ISBN,Book Code,"Digital 
Copyrights","Digitized 
(PDF Unicode Text)",eBook (EPUB),"Amazon Kindle 
Link","Google Playbooks 
Link","References 
Link",Audio Books,"Google Link for 
Audio Books"
274,Universal Message of the Bhagavad Gita[HB] Vol 1,Swami Ranganathananda,,9788175052130,ASE053,,,,,,,,
275,Universal Message of the Bhagavad Gita[HB] Vol 2,Swami Ranganathananda,,9788175052147,ASE055,,,,,,,,
276,Universal Message of the Bhagavad Gita[HB] Vol 3,Swami Ranganathananda,,9788175052192,ASE057,,,,,,,,
277,The Message of Brihadaranyaka Upanishad,Swami Ranganathananda,,9788175052673,ASE059,,,,,,,,
278,The Message of the Vivekachudamani,Swami Ranganathananda,,9788175053083,ASE069,,,,,,,,
279,"MESSAGE OF THE UPANISHADS, THE",Swami Ranganathananda,,9788175054875,ASE060,,,,,,,,
280,Science and Religion,Swami Ranganathananda,,9788175050358,AOE011,,,,,,,,
281,Vedanta and Future of Mankind,Swami Ranganathananda,,9788175051300,AOE016,,,,,,,,
282,Vivekananda and Human Excellence,Swami Ranganathananda,,9788175050396,AOE023,,,,,,,,
283,Swami Vivekananda: His Humanism,Swami Ranganathananda,,9788185301396,AVE064,,,,,,,,
284,The Essence of Indian Culture,Swami Ranganathananda,,9788185301099,AOE024,,,,,,,,
285,Bhagavan Buddha and Our Heritage,Swami Ranganathananda,,9788185301075,AOE025,,,,,,,,
286,Spiritual Life of Indian People,Swami Ranganathananda,,9788185301082,AOE026,,,,,,,,
287,The Christ We Adore,Swami Ranganathananda,,9788185301129,AOE027,,,,,,,,
288,Indian Vision of God as Mother,Swami Ranganathananda,,9788175051348,AOE030,,,,,,,,
289,Approach to Truth in Vedanta,Swami Ranganathananda,,9788175052017,AOE032,,,,,,,,
290,Practical Vedanta & the Science of Values,Swami Ranganathananda,,9788175050525,AOE034,,,,,,,,
291,Question & Answer Session in Chicago,Swami Ranganathananda,,9788175052178,AOE037,,,,,,,,
292,Philosophy of Service,Swami Ranganathananda,,9788175052444,AOE041,,,,,,,,
293,Enlightened Citizenship & Our Democracy,Swami Ranganathananda,,9788175052536,AOE043,,,,,,,,
294,Philosophy of Democratic Administration,Swami Ranganathananda,,9788175052543,AOE044,,,,,,,,
295,Second USA and Canada Lecture Tour,Swami Ranganathananda,,9788175052741,AOE049,,,,,,,,
296,Spiritual Life of the Householder,Swami Ranganathananda,,9788175052031,APE021,,,,,,,,
297,Charm and the Power of the Upanishads,Swami Ranganathananda,,9788175052376,ASE048,,,,,,,,
298,Charm and the Power of the Gita,Swami Ranganathananda,,9788175052185,ASE056,,,,,,,,
299,The Central Theme of the Bhagavatam,Swami Ranganathananda,,9788175052420,ASE058,,,,,,,,
300,Universal Symphony of Vivekananda,Swami Ranganathananda,,9788175052475,AVE111,,,,,,,,
301,Vivekananda & the Erasing of the Dividing Line,Swami Ranganathananda,,9788175053144,AOE064,,,,,,,,
302,Shankaracharya and an Untouchable,Swami Ranganathananda,,9788175053298,AOE067,,,,,,,,
303,"Meditation, Ecstasy and Illumination",Swami Ashokananda,,9788175051232,APE011,,,,,,,,
304,Spiritual Practice,Swami Ashokananda,,9788175050587,APE004,,,,,,,,
305,When the Many Become One,Swami Ashokananda,,9788175051331,AOE028,,,,,,,,
306,Spiritualising Everyday Life,Swami Ashokananda,,9788185301327,APE013,,,,,,,,
307,The Soul’s Journey to Its Destiny,Swami Ashokananda,,9788175051263,APE014,,,,,,,,
308,A Call to the Eternal [HB],Swami Ashokananda,,9788175050389,APE016,,,,,,,,
309,Ascent to Spiritual Illumination [HB],Swami Ashokananda,,9788175052161,APE022,,,,,,,,
310,LET US BE GOD,Swami Ashokananda,,9788175054783,AOE084,,,,,,,,
311,How Is a Man Reborn?,Swami Satprakashananda,,9788185301310,AOE010,,,,,,,,
312,Can One be Scientific and Yet Spiritual?,Swami Budhananda,,9788175050051,AOE012,,,,,,,,
313,Methods of Knowledge,Swami Satprakashananda,,9788175050655,AOE013,,,,,,,,
314,Ramakrishna Movement,Swami Budhananda,,9788185301563,AOE015,,,,,,,,
315,My Faithful Goodwin,Pravrajika Vrajaprana,,9788185301259,AOE033,,,,,,,,
316,With the Swamis in America and India,Swami Atulananda,,9788175050709,AOE018,,,,,,,,
317,Arati Songs of Ramakrishna Order,Swami Harshananda,,9788175051324,AOE019,,,,,,,,
318,"Art, Culture and Spirituality … … … [HB]",Compilation,,9788175051898,AOE036,,,,,,,,
319,Story of Mira’s Love,Swami Budhananda,,9788175052383,AOE039,,,,,,,,
320,Ramprasad: Melodious Mystic,Swami Budhananda,,9788175052406,AOE040,,,,,,,,
321,Evolution of Mother Worship in India,Prof.Sashi Bhusan Dasgupta,,9788175052604,AOE046,,,,,,,,
322,You will be a Paramahamsa,Swami Sarvagatananda,,9788175052710,AOE050,,,,,,,,
323,Eminent Indian Women,Compilation,,9788175052727,AOE051,,,,,,,,
324,  Light from the Orient … … … … … [HB],Swami Tathagatananda,,9788175052772,AOE052,,,,,,,,
325,Journey of Upanishads to the West … [HB],Swami Tathagatananda,,9788175052734,AOE053,,,,,,,,
326,Sri Krishna Yoga,Swami Sarvagatananda,,9788175052765,AOE056,,,,,,,,
327,Life and Philosophy of Shankaracharya,Swami Mukhyananda,,9788175052833,AOE057,,,,,,,,
328,Story of Ramakrishna Mission,Compilation,,9788175052857,AOE058,,,,,,,,
329,An Introduction to Hindu Culture,Swami Harshananda,,9788175052871,AOE059,,,,,,,,
330,Ramakrishna’s Physician Dr. Sarkar,Dr. Jaladhikumar Sarkar,,9788175052918,AOE060,,,,,,,,
331,Along: Half a Decade in Enchanting Environs,,,9788175052925,AOE061,,,,,,,,
332,Charm of Mayavati Ashrama,Swami Satyapriyananda,,9788175053113,AOE065,,,,,,,,
333,Vedanta for the Common Man,Swami Sarvagatananda,,9788175053311,AOE068,,,,,,,,
334,The World Parliament of Religions 1893,Lakshmi Niwas Jhunjhunwala,,9788175053399,AOE069,,,,,,,,
335,Vedanta a Simple Introduction,Pravrajika Vrajaprana,,9788175053403,AOE070,,,,,,,,
336,Ancient Sages,Swami Satyamayananda,,9788175053564,AOE071,,,,,,,,
337,Vedanta Sadhana & Shakti Puja,Swami Swahananda,,9788175053656,AOE072,,,,,,,,
338,The Glory of Monastic Life,Swami Bhajanananda,,9788175053717,AOE073,,,,,,,,
339,Religious Behaviour & Spiritual Experience,Ashit Chandra Chakraborty,,9788175053953,AOE074,,,,,,,,
340,Images of Divinity,Ann Myren,,9788175053960,AOE075,,,,,,,,
341,Mother of Mayavati,Amrita M Salm,,9788175054011,AOE076,,,,,,,,
342,Monk Without Frontiers,,,9788175054363,AOE077,,,,,,,,
343,HINDUISM THE FAITH ETERNAL,Dr. Satish K Kapoor,,9788175054417,AOE078,,,,,,,,
344,INFLUENCE OF INDIAN THOUGHT ON THOUGHT OF WEST,Swami Ashokananda,,9788175054530,AOE079,,,,,,,,
345,LETTERS OF SISTER NIVEDITA (2 VOL SET),SANKARI PRASAD BASU,,9788175054639,AOE080,,,,,,,,
346,NIVEDITA COMMEMORATION VOLUME,Compilation,,9788175054585,AOE081,,,,,,,,
347,NIVEDITA FIGHTER EXTRAORDINARY FOR INDIA,"Sukanya Ray, Anil Baran Ray",,9788175054752,AOE083,,,,,,,,
348,"INSPIRED LIFE OF SARAH ELLEN WALDO, THE",Amrita M Salm,,9788175054097,AOE085,,,,,,,,
349,HINDUISM THE FAITH ETERNAL (PREMIUM),Dr. Satish K Kapoor,,9788175056015,AOE086,,,,,,,,
350,SPIRITUALITY IN MODERN LITERATURE,"Editors: Swami Satyaswarupananda, Swami Madhurananda",,9788175054929,AOE087,,,,,,,,
351,Writings of Swami Atulananda,"Swami Atulananda, Swami Madhurananda",,9788175055179,AOE088,,,,,,,,
352,FROM DARKNESS TO LIGHT VOL. 1 - PROMINENT PERSONALITIES,A COMPILATION,,9788175055131,AOE089,,,,,,,,
353,FROM DARKNESS TO LIGHT VOL. 2 - EDITORS,A COMPILATION,,9788175055148,AOE090,,,,,,,,
354,Tales from Ramakrishna,Swami Smaranananda,,9788185301730,ACE001,,,,,,,,
355,Story of Ramakrishna,Swami Smaranananda,,9788175051355,ACE002,,,,,,,,
356,Story of Sarada Devi,Swami Smaranananda,,9788185301679,ACE003,,,,,,,,
357,Story of Vivekananda,Mallika Clare Gupta and Irene R.Ray,,9788185301655,ACE004,,,,,,,,
358,Tales from Vivekananda,Swami Ishatmananda,,9788185301693,ACE005,,,,,,,,
359,Simple Life of Swami Vivekananda,Br. Amal,,9788175052055,ACE010,,,,,,,,
360,Stories for Children,Swami Vivekananda,,9788185301716,ACE006,,,,,,,,
361,Vedantic Tales,Marie Louise Burke,,9788175051362,ACE007,,,,,,,,
362,Pictorial Parables of Ramakrishna,Compilation,,9788175051379,ACE008,,,,,,,,
363,Hari the Lion,Sister Gargi,,9788185301051,ACE009,,,,,,,,
364,Stories from Vedanta,Swami Amarananda,,9788175052413,ACE011,,,,,,,,
365,Vivekananda's Childhood,Pronabesh Chakraborty,,9788175053335,ACE012,,,,,,,,
366,Stories from Bhagavatam,Swami Bodhasarananda,,9788175054349,ACE013,,,,,,,,
367,WHO IS GREATER?,Swami Vimohananda (Translator),,9788175054707,ACE014,,,,,,,,
368,TALE OF A NAUGHTY BOY - (Class V),,,9788175055032,ACE015,,,,,,,,
369,ARUNODAY (ENG) - (Class VI),,,9788175055049,ACE016,,,,,,,,
370,GUIDING LIGHT - (Class VII),,,9788175054974,ACE017,,,,,,,,
371,HOW SHALL I BE? - (Class VIII),,,9788175054967,ACE018,,,,,,,,
372,SHUBHOS ADVENTURES - (Class IX),,,9788175055087,ACE019,,,,,,,,
373,ARE WE ALIVE? - (Class XI),,,9788175055070,ACE020,,,,,,,,
374,"TEACHERS GUIDEBOOK - (For Class V-IX, XI)",Compilation,,9788175052901,AOE082,,,,,,,,
375,ENLIGHTENING STORIES,"Sw. Chetanananda, Sw.Vimohananda",,9788175054776,ACE021,,,,,,,,
376,UPANISHADIC STORIES & THEIR SIGNIFICANCE,Swami Tattwananda,,9788175054950,ACE022,,,,,,,,
377,Message of Ramakrishna,Ramakrishna,,9788185301211,ARE017,,,,,,,,
378,Message of Holy Mother,Compilation,,9788175050266,AHE003,,,,,,,,
379,Message of Vivekananda,Swami Vivekananda,,9788175050259,AVE070,,,,,,,,
380,Ramakrishna & Vivekananda (Nehru),Jawaharlal Nehru,,9788175050044,AVE072,,,,,,,,
381,Chicago Addresses,Swami Vivekananda,,9788175051386,AVE073,,,,,,,,
382,My Life and Mission,Swami Vivekananda,,9788185301884,AVE074,,,,,,,,
383,Essentials of Hinduism,Swami Vivekananda,,9788175051393,AVE075,,,,,,,,
384,In Defence of Hinduism,Swami Vivekananda,,9788175051409,AVE076,,,,,,,,
385,Bhakti or Devotion,Swami Vivekananda,,9788175051416,AVE077,,,,,,,,
386,Thoughts of Power,Swami Vivekananda,,9788175050204,AVE078,,,,,,,,
387,Sadhanas or Preparations for Higher Life,Swami Vivekananda,,9788185301280,AVE079,,,,,,,,
388,Modern India,Swami Vivekananda,,9788185301204,AVE080,,,,,,,,
389,Work and Its Secret,Swami Vivekananda,,9788175050013,AVE081,,,,,,,,
390,Powers of the Mind,Swami Vivekananda,,9788185301402,AVE082,,,,,,,,
391,Is Vedanta the Future Religion?,Swami Vivekananda,,9788175050570,AVE083,,,,,,,,
392,Life After Death,Swami Vivekananda,,9788175050020,AVE085,,,,,,,,
393,Our Women,Swami Vivekananda,,9788185301365,AVE086,,,,,,,,
394,Christ the Messenger,Swami Vivekananda,,9788175050631,AVE100,,,,,,,,
395,Practice of Religion,Swami Vivekananda,,9788175053618,AVE120,,,,,,,,
396,Mayavati Advaita Ashrama Brochure,,,,AOE063,,,,,,,,
397,Life of Swami Vivekananda (2 vols subsidized) (Eastern & Western Disciples),Eastern & Western Disciples,,9788175051775,AVE001,,,,,,,,
398,Lectures from Colombo to Almora (Subsidized),Swami Vivekananda,,9788175051812,AVE040,,,,,,,,
399,Rebuild India,Swami Vivekananda,,9788175052819,AVE114,,,,,,,,
400,Vivekananda Reader,Compilation,,9788175053649,AVE124,,,,,,,,
401,Complete Works of Vivekananda (Sub. Ed. - 8 vols),Swami Vivekananda,,9788175054110,AVE029,,,,,,,,
402,Selections from the Complete Works of Vivekananda (Sub) (600 pages),Swami Vivekananda,,9788185301600,AVE030,,,,,,,,
403,Srimad Bhagavad Gita (Swarupananda) (Sub),Swami Swarupananda,,9788175050969,ASE001,,,,,,,,
404,Vivekananda: His Call to the Nation,Swami Vivekananda,,9788175050181,AVE071,,,,,,,,
405,Inspiring Lives,Compilation,,9788175052345,ARE024,,,,,,,,
406,Life and Teachings of Sarada Devi,Compilation,,9788175052581,AHE008,,,,,,,,
407,"Ramakrishna Math & Mission: History, Ideals, Activities",Swami Bhajanananda,,,AOE054,,,,,,,,
408,Belur Math Brochure,,,,AOE062,,,,,,,,
409,The Gospel Of Sri Ramakrishna,Mahendranath Gupta,,9788175052582,AOE063,,,,,,,,
410,,,,,,,,,,,,,
411,,,,,,,,,,,,,
